NO,TICKER,URL,English_total,Total,CE0_name,CEO_num,Pros1_text,Pros1_color,Pros1_num,Pros2_text,Pros2_color,Pros2_num,Pros3_text,Pros3_color,Pros3_num,Pros4_text,Pros4_color,Pros4_num,Pros5_text,Pros5_color,Pros5_num,Cons1_text,Cons1_color,Cons2_num,Cons2_text,Cons2_color,Cons2_num,Cons3_text,Cons3_color,Cons3_num,Cons4_text,Cons4_color,Cons4_num,Cons5_text,Cons5_color,Cons5_num
9,DIS,https://www.glassdoor.com/Reviews/Walt-Disney-Company-Reviews-E717.htm,6557,8943,Bob Chapek,840,great benefits for all employees,great benefits,372,great work environment and great teams to work with,work environment,276,Fun environment and great people,great people,259,"Great work culture, free park admission",free park admission,253,It has Good benefits for families,Good benefits,221,great benefits for all employees,great benefits,372,great work environment and great teams to work with,work environment,276,Fun environment and great people,great people,259,"Great work culture, free park admission",free park admission,253,It has Good benefits for families,Good benefits,221
130,ECL,https://www.glassdoor.com/Reviews/Ecolab-Reviews-E222.htm,2704,3296,Christophe Beck,205,"Good benefits, opportunity for career development, comp packages are comparable to other companies with similar roles",Good benefits,147,"Work life balance, healthy work environment",Work life balance,118,Company Vehicle was great and not stuck in office,Company Vehicle,102,Headquarters in MN is a great work environment,work environment,93,Nice company with great benefits,great benefits,91,"Good benefits, opportunity for career development, comp packages are comparable to other companies with similar roles",Good benefits,147,"Work life balance, healthy work environment",Work life balance,118,Company Vehicle was great and not stuck in office,Company Vehicle,102,Headquarters in MN is a great work environment,work environment,93,Nice company with great benefits,great benefits,91
107,CL,https://www.glassdoor.com/Reviews/Colgate-Palmolive-Reviews-E162.htm,822,2381,Noel Wallace,0 Rating,"Good work-life balance, career development opportunities",work-life balance,148,"Excellent work environment, as well as growth opportunities",work environment,101,Very good culture surrounded by great people,great people,64,"Flexibility, great benefits and opportunities to travel abroad",great benefits,59,"Collaborative environment, good benefits, great sustainability initatives",good benefits,46,"Good work-life balance, career development opportunities",work-life balance,148,"Excellent work environment, as well as growth opportunities",work environment,101,Very good culture surrounded by great people,great people,64,"Flexibility, great benefits and opportunities to travel abroad",great benefits,59,"Collaborative environment, good benefits, great sustainability initatives",good benefits,46
10,NVDA,https://www.glassdoor.com/Reviews/NVIDIA-Reviews-E7633.htm,2825,3480,Jensen Huang,2151,"Smart peers, work on cutting edge technology and very open and friendly culture",cutting edge technology,207,There is good Work life balance,Work life balance,200,Good Work culture and environment,Work culture,183,"Collaborative work environment; supportive management; contributing to a global, innovative company",work environment,177,"Get to work on cutting edge technology, ability to move around the company for different roles",edge technology,141,"Smart peers, work on cutting edge technology and very open and friendly culture",cutting edge technology,207,There is good Work life balance,Work life balance,200,Good Work culture and environment,Work culture,183,"Collaborative work environment; supportive management; contributing to a global, innovative company",work environment,177,"Get to work on cutting edge technology, ability to move around the company for different roles",edge technology,141
131,EW,https://www.glassdoor.com/Reviews/Edwards-Lifesciences-Reviews-E11809.htm,700,861,Michael A. Mussallem,464,Great company culture focused on patients and employees,Great company,37,"Great benefits, employee focused, work life balance",Great benefits,34,"Recognition, Work Life Balance, Compensation",Work Life Balance,29,"Good Benefits, good products for the most part",Good Benefits,27,"Great people to work with, family-like community",Great people,25,Great company culture focused on patients and employees,Great company,37,"Great benefits, employee focused, work life balance",Great benefits,34,"Recognition, Work Life Balance, Compensation",Work Life Balance,29,"Good Benefits, good products for the most part",Good Benefits,27,"Great people to work with, family-like community",Great people,25
108,EL,https://www.glassdoor.com/Reviews/Est%C3%A9e-Lauder-Companies-Reviews-E2785.htm,2051,2881,Fabrizio Freda,1025,Good company with great benefits,great benefits,122,"Great Culture, attitude, work life balance",work life balance,109,Great work environment competitive salaries,work environment,82,Great Company Values and Benefits,Great Company,79,Good culture and company with good benefits,good benefits,79,Good company with great benefits,great benefits,122,"Great Culture, attitude, work life balance",work life balance,109,Great work environment competitive salaries,work environment,82,Great Company Values and Benefits,Great Company,79,Good culture and company with good benefits,good benefits,79
132,EMR,https://www.glassdoor.com/Reviews/Emerson-Reviews-E225.htm,3873,4546,Lal Karsanbhai,222,Good Work life balance as timing is from 9-5,Work life balance,354,Good benefits and great work environment,work environment,251,Really good benefits and flexibility,good benefits,108,A lot of Good people working there,Good people,98,"Great people, great pandemic response",Great people,97,Good Work life balance as timing is from 9-5,Work life balance,354,Good benefits and great work environment,work environment,251,Really good benefits and flexibility,good benefits,108,A lot of Good people working there,Good people,98,"Great people, great pandemic response",Great people,97
192,VIAC,https://www.glassdoor.com/Reviews/ViacomCBS-Reviews-E40260.htm,1931,2726,Robert Bakish,435,Good benefits and work environment,work environment,162,Good Work/life balance in the office,Work/life balance,139,great people and leadership team,great people,129,great benefits and room for growth,great benefits,112,Professional environment but laid back as long as deadlines are met,laid back,94,Good benefits and work environment,work environment,162,Good Work/life balance in the office,Work/life balance,139,great people and leadership team,great people,129,great benefits and room for growth,great benefits,112,Professional environment but laid back as long as deadlines are met,laid back,94
109,ILMN,https://www.glassdoor.com/Reviews/Illumina-Reviews-E11671.htm,1242,1436,Francis deSouza,642,The work is fast paced and always changing depending on evolving needs,fast paced,89,The company encourages a healthy work life balance,work life balance,88,"Great benefits, flexible work environment, opportunity for career advancement",Great benefits,61,Supportive work environment with great people and culture,work environment,60,Great care of their employees and great people to work with,great people,51,The work is fast paced and always changing depending on evolving needs,fast paced,89,The company encourages a healthy work life balance,work life balance,88,"Great benefits, flexible work environment, opportunity for career advancement",Great benefits,61,Supportive work environment with great people and culture,work environment,60,Great care of their employees and great people to work with,great people,51
11,PG,https://www.glassdoor.com/Reviews/Procter-and-Gamble-Reviews-E544.htm,7919,11018,David S. Taylor,2515,Great people to have as mentors,Great people,344,"Nice work environment, continuous learning",work environment,333,Good benefits for people off all backgrounds,Good benefits,254,Very engaging leadership and a great place to learn,great place,227,Legacy company with great benefits,great benefits,212,Great people to have as mentors,Great people,344,"Nice work environment, continuous learning",work environment,333,Good benefits for people off all backgrounds,Good benefits,254,Very engaging leadership and a great place to learn,great place,227,Legacy company with great benefits,great benefits,212
133,ETN,https://www.glassdoor.com/Reviews/Eaton-Reviews-E221.htm,3521,4563,Craig Arnold,1083,Very good company to work for and important thing is work life balance is provided,work life balance,317,"Friendly work environment, endless learning opportunities, room to grow",work environment,151,real good fair place to work good pay equal opportunities,good pay,141,"Good benefits, vacation and opportunities",Good benefits,137,Many great people that will help teach you the necessary skills to grow as long as you show potential and a good work ethic,great people,104,Very good company to work for and important thing is work life balance is provided,work life balance,317,"Friendly work environment, endless learning opportunities, room to grow",work environment,151,real good fair place to work good pay equal opportunities,good pay,141,"Good benefits, vacation and opportunities",Good benefits,137,Many great people that will help teach you the necessary skills to grow as long as you show potential and a good work ethic,great people,104
193,PRU,https://www.glassdoor.com/Reviews/Prudential-Reviews-E2944.htm,3039,3893,Charles Lowrey,390,"Good people, good technology, good benefits",good benefits,185,Great benefits for all employees,Great benefits,183,Great work environment at company,work environment,113,Great people and overall strong leadership,Great people,91,great company culture and mentors,great company,84,"Good people, good technology, good benefits",good benefits,185,Great benefits for all employees,Great benefits,183,Great work environment at company,work environment,113,Great people and overall strong leadership,Great people,91,great company culture and mentors,great company,84
110,NSC,https://www.glassdoor.com/Reviews/Norfolk-Southern-Reviews-E483.htm,1172,1332,James A. Squires,372,Good pay for the amount of work,Good pay,154,good pay and benefits; work isn't hard,pay and benefits,108,The company offers good pay and good benefits,good benefits,80,"Great Pay, Great management, Company truly cares about you",Great Pay,79,Great benefits and opportunity to move up in the company,Great benefits,77,Good pay for the amount of work,Good pay,154,good pay and benefits; work isn't hard,pay and benefits,108,The company offers good pay and good benefits,good benefits,80,"Great Pay, Great management, Company truly cares about you",Great Pay,79,Great benefits and opportunity to move up in the company,Great benefits,77
12,UNH,https://www.glassdoor.com/Reviews/UnitedHealth-Group-Reviews-E1991.htm,11530,13403,Dave Wichmann,1606,Telecommuting is great and it feels amazing to work from home,work from home,1341,Flexible work timings good work life balance chance to learn cutting edge technologies,work life balance,939,Learned how to effectively communicate via telecommute with a team of people over three years to accomplish company directives,telecommute,420,Great benefits fun work environment,work environment,381,good benefits and good health insurance,good benefits,307,Telecommuting is great and it feels amazing to work from home,work from home,1341,Flexible work timings good work life balance chance to learn cutting edge technologies,work life balance,939,Learned how to effectively communicate via telecommute with a team of people over three years to accomplish company directives,telecommute,420,Great benefits fun work environment,work environment,381,good benefits and good health insurance,good benefits,307
134,FCX,https://www.glassdoor.com/Reviews/Freeport-McMoRan-Reviews-E266.htm,672,816,Richard C. Adkerson,273,"Great benefits, great management",Great benefits,62,Good pay and benefits at his place,Good pay,58,Good Benefits for the employees,Good Benefits,48,"Great pay, great training and very safe",Great pay,39,Pay and benefits and great safety values,Pay and benefits,37,"Great benefits, great management",Great benefits,62,Good pay and benefits at his place,Good pay,58,Good Benefits for the employees,Good Benefits,48,"Great pay, great training and very safe",Great pay,39,Pay and benefits and great safety values,Pay and benefits,37
111,DUK,https://www.glassdoor.com/Reviews/Duke-Energy-Reviews-E211.htm,1077,1357,Lynn J. Good,477,Good work life balance with good benefits,work life balance,81,Friendly staff and good benefits,good benefits,80,"Good pay, good management, good incentive",Good pay,74,Great benefits - Inclusive - Flexible,Great benefits,74,Very laid back work environment,work environment,60,Good work life balance with good benefits,work life balance,81,Friendly staff and good benefits,good benefits,80,"Good pay, good management, good incentive",Good pay,74,Great benefits - Inclusive - Flexible,Great benefits,74,Very laid back work environment,work environment,60
194,WBA,https://www.glassdoor.com/Reviews/Walgreens-Boots-Alliance-Reviews-E3779.htm,954,1021,Roz Brewer,47,"Good pay, good staff and fast paced",Good pay,35,"Staff discount , extra hours available",Staff discount,33,You get good discount and make lots of friends,good discount,24,401K plan great people to work for,great people,16,Great company with good benefits,good benefits,15,"Good pay, good staff and fast paced",Good pay,35,"Staff discount , extra hours available",Staff discount,33,You get good discount and make lots of friends,good discount,24,401K plan great people to work for,great people,16,Great company with good benefits,good benefits,15
13,MA,https://www.glassdoor.com/Reviews/Mastercard-Reviews-E3677.htm,2825,3453,Michael Miebach,382,Friendly work environment in which personal development is nurtured,work environment,117,Great benefits package and salaries,Great benefits,103,Very good benefits for employees,good benefits,95,"Parental leave, Flexible working hours",Flexible working hours,94,Good work culture In Gurgaon office,work culture,78,Friendly work environment in which personal development is nurtured,work environment,117,Great benefits package and salaries,Great benefits,103,Very good benefits for employees,good benefits,95,"Parental leave, Flexible working hours",Flexible working hours,94,Good work culture In Gurgaon office,work culture,78
135,PGR,https://www.glassdoor.com/Reviews/Progressive-Insurance-Reviews-E546.htm,3788,3898,Tricia Griffith,1445,They really care about their employees and the work environment they create,work environment,227,"Great benefits, including working from home",Great benefits,222,Good work-life balance here at PGR,work-life balance,199,Ability to work from home with a lot of positions,work from home,171,"Lots of great people, good benefits package",good benefits,132,They really care about their employees and the work environment they create,work environment,227,"Great benefits, including working from home",Great benefits,222,Good work-life balance here at PGR,work-life balance,199,Ability to work from home with a lot of positions,work from home,171,"Lots of great people, good benefits package",good benefits,132
195,LUV,https://www.glassdoor.com/Reviews/Southwest-Airlines-Reviews-E611.htm,2570,2946,Gary C. Kelly,1750,great benefits and competitive pay,great benefits,258,"Perks- 401k match, Employee Stock Purchase Plan, Flight benefits",Flight benefits,191,"Great company, great people, great culture",Great company,159,"Flexibility, free flights, good benefits",free flights,135,Profit Sharing during good years (Which was every year before COVID),Profit Sharing,128,great benefits and competitive pay,great benefits,258,"Perks- 401k match, Employee Stock Purchase Plan, Flight benefits",Flight benefits,191,"Great company, great people, great culture",Great company,159,"Flexibility, free flights, good benefits",free flights,135,Profit Sharing during good years (Which was every year before COVID),Profit Sharing,128
